conversation_name,num_chunks,avg_distance,median_distance,min_distance,max_distance
260F27B4_Stage & DnDev login credentials,5,1.2355870723724365,1.244894027709961,1.1985249519348145,1.2546839714050293
2682E3DD_RE_ [EXTERNAL] RE_ Veg Oil datasets download,5,0.991570234298706,1.001435399055481,0.9363424777984619,1.0333586931228638
2739867B_Re_ URGENT_ seems something is broken in the platf,5,1.2071117639541626,1.2067948579788208,1.120237112045288,1.2671258449554443
2773793A_RE_ Datasets To Be Deleted,5,1.309867763519287,1.3046393394470215,1.292437195777893,1.3414760828018188
277CF74A_RE_ Password reset`,5,1.080514705181122,1.084453821182251,0.9973793625831604,1.1324403285980225
27F75D56_Re_ DCS-1546 Check argentina official stocks datas,5,1.0163190960884094,1.0200616121292114,0.9313673377037048,1.062302827835083
282C45E5_Re_ Data Quality 16_12_2025,5,1.2340729713439942,1.2404749393463135,1.190073013305664,1.2591354846954346
285ED8AB_RE_ CNF Download,5,0.9421801567077637,0.9309828281402588,0.9047203660011292,1.016563892364502
28B8B0C3_RE_ China G&O Daily Commentary 2025.02.20,5,1.259849214553833,1.2871652841567993,1.169217824935913,1.2954604625701904
294E1B6A_Re_ Acreage and stocks report,5,1.255115270614624,1.2714980840682983,1.1600804328918457,1.3129442930221558
29E2AB43_Re_ Argentina Farmer Selling News,5,1.1540923595428467,1.145512342453003,1.1071367263793945,1.2081961631774902
2A51C584_DNEXT - Login Credentials,5,1.0354037761688233,1.0594171285629272,0.9033819437026978,1.1034570932388306
2AD8B2CC_Re_ Lineup dashboards,5,1.1391448497772216,1.1553176641464233,1.0360957384109497,1.1953245401382446
2B2373CD_Stage Login Credentials,5,1.2157106876373291,1.2171090841293335,1.1981412172317505,1.2245497703552246
2B42514C_DNEXT - Login Credentials,5,1.0104578614234925,1.022874355316162,0.9499720931053162,1.051933765411377
2B6EB24A_Re_ Dataset failing_ AMS grains bids,5,1.0738854646682738,1.078502893447876,1.0341315269470215,1.1052923202514648
2B8263F7_RE_ Dataset to THUL,5,1.191968274116516,1.18745756149292,1.1659877300262451,1.2228426933288574
2B8A4704_Re_ DCS-2184 Customs Argentina adjusted lineups is,5,0.9856932163238525,1.0327484607696533,0.5654895305633545,1.1865859031677246
2BFD1B6B_RE_ 5 yrs fob_cfr history needed if possible,5,0.7754445672035217,0.8234642148017883,0.5540856719017029,0.9186593294143677
2C24B2CE_Demo - Valency,5,1.1264658212661742,1.1069365739822388,1.0270168781280518,1.237534999847412
2C424743_Fw_ ERA5 & weather data update,5,1.0941362619400024,1.0912789106369019,1.0671457052230835,1.142030954360962
2C9270DF_RE_ DNext API_Content Questions,5,1.0637011766433715,1.0714353322982788,1.040993094444275,1.085640549659729
2D0BBB2F_DNEXT - Login Credentials,5,0.9559283375740051,0.9546120166778564,0.8642369508743286,1.0534491539001465
2D0F2C61_RE_ Access to snowflake Seaforthke,5,1.1891052007675171,1.1900266408920288,1.1598211526870728,1.2229042053222656
2D55FB48_Re_ export sales,5,1.0801162242889404,1.1745367050170898,0.7218161821365356,1.1888113021850586
2D57EF96_Tradematrix Download issue,5,0.8821330308914185,0.9207860231399536,0.6714094877243042,0.9674403667449951
2D599D8E_DNEXT - Login Credentials,5,1.0459481239318849,1.0549871921539307,0.9582087993621826,1.097340703010559
2DC8E586_RE_ [EXTERNAL] DCS-893 blank cnf matrix,5,0.8432161569595337,0.8457722663879395,0.7359986305236816,0.9178521037101746
2DF9490A_RE_ [EXTERNAL] RE_ Corn SnD,5,0.8862058162689209,0.9539879560470581,0.5847446918487549,1.0319178104400635
2E032C6C_DNEXT - Login Credentials,5,0.9922475099563599,1.0007562637329102,0.9372189044952393,1.0339168310165405
2E3EEE82_Re_ Argentina NDVI,5,1.0098637700080872,1.0032837390899658,0.9828563928604126,1.035932183265686
2E44D4F2_RE_ Data on Rapeseed Oil,5,0.9109800696372986,1.0140750408172607,0.6117438673973083,1.04423189163208
2FB73159_RE_ new joiners,5,1.2836748361587524,1.3082472085952759,1.1723036766052246,1.3310637474060059
305E53B3_RE_ Wasde monthly file,5,1.0916325807571412,1.0820949077606201,1.0675009489059448,1.1453027725219727
30B64D6B_RE_ (External)DNEXT Platform walk through,5,1.525631356239319,1.5347175598144531,1.4775400161743164,1.5655639171600342
30C5065F_Login Credentials,5,0.9702624082565308,0.9758581519126892,0.8877356648445129,1.0458042621612549
30FD91C4_Re_ mapping urea,5,0.9482357859611511,1.08090078830719,0.4600222706794739,1.120608925819397
3123C9B8_RE_ Returned mail_ see transcript for details,5,1.1474340200424193,1.183030128479004,1.0655052661895752,1.2029361724853516
"31D344B2_RE_ VAM_Dnext_ SnD Dropbox, Dataset, Technology tr",5,0.938598358631134,0.9622571468353271,0.6794724464416504,1.0734002590179443
31EC67F6_Data Quality 11-11-2025,5,1.1218221664428711,1.2648603916168213,0.5995590686798096,1.27193021774292
3226B5D2_RE_ Avere sugar lineups request,5,0.9896310210227967,1.0066713094711304,0.8870633244514465,1.0417485237121582
325CDD84_Re_ DL-RAIZEN,5,1.4322018146514892,1.461259365081787,1.318813681602478,1.4719878435134888
32E31F6A_DNEXT - Login Credentials,5,1.0101733684539795,1.0224711894989014,0.9497232437133789,1.0513917207717896
33759030_RE_ Amaggi environment,5,1.390639328956604,1.387215495109558,1.3423562049865723,1.4226744174957275
338725DC_DNEXT - Login Credentials,5,1.0459481239318849,1.0549871921539307,0.9582087993621826,1.097340703010559
33DFAE15_DNEXT - Login Credentials,5,1.0101733684539795,1.0224711894989014,0.9497232437133789,1.0513917207717896
34A6FCAB_RE_ Tradeflow soft wheat - no signs of USA,5,0.813490879535675,0.8256720900535583,0.6434332132339478,0.9239259362220764
34D4637C_RE_ Victor on boarding _ Ameropa,5,1.3583185434341432,1.3751312494277954,1.2706364393234253,1.3952676057815552
354FA159_RE_ Invisible Dashboards,5,0.9888959646224975,0.9681857824325562,0.9177840352058411,1.091588020324707
35592CD4_Re_ Millennium - request to cease access and remov,5,1.3969229698181151,1.402671217918396,1.3654855489730835,1.4264007806777954
3564CE4F_Re_ Dnext credentials Leo,5,1.1958795309066772,1.1908009052276611,1.160521149635315,1.2246965169906616
35B18472_RE_ Vegoil flows,5,1.1266981363296509,1.1574242115020752,0.9639847278594971,1.1895122528076172
35D07C06_RE_ Dataset deleting request,5,1.2870373725891113,1.2960131168365479,1.2538484334945679,1.310524582862854
35F8A333_RE_ Corn Trade matrix,5,0.9281925201416016,0.9634116888046265,0.71219402551651,1.023061990737915
36B08B13_Re_ Customs Argentina adjusted lineups is WRONG. A,5,0.9880998849868774,1.0192134380340576,0.5867728590965271,1.1840673685073853
36C6F19D_DNEXT - Login Credentials,5,1.063300895690918,1.078470230102539,1.0028491020202637,1.1012645959854126
3791C14A_Microsoft 365 security_ You have messages in quara,5,1.2516537189483643,1.2814056873321533,1.1689914464950562,1.3088762760162354
379BD922_RE_ Daily Market Commentary,5,1.241299557685852,1.2538399696350098,1.185953140258789,1.2610849142074585
"379D12AA_BankCEX Exclusive Promo_ Buy One Listing, Get One",5,1.4853659629821778,1.5080504417419434,1.437415361404419,1.5196454524993896
37D04107_RE_ Issues with the Tradematrix or the data feedin,5,1.101151180267334,1.1026334762573242,1.036803960800171,1.1724237203598022
37E783D0_workflow in error,5,1.244944405555725,1.2473044395446777,1.226694107055664,1.2596489191055298
37F04725_DNEXT - Login Credentials,5,1.0958522081375122,1.1273348331451416,1.019310474395752,1.1384447813034058
383A4AE3_Request - Sharing Datasets from Dnexr to dev,5,1.1219932317733765,1.1068429946899414,1.0614161491394043,1.1745429039001465
3892E1C0_RE_ DCS-2075 Demo account INpasa,5,1.217434334754944,1.2223660945892334,1.128640055656433,1.33905029296875
389492C6_RE_ Farmer selling,5,0.8165062069892883,0.8334641456604004,0.6456037759780884,0.8965991735458374
38B908F9_Re_ rapeseeds EU platform issue,5,0.8990033984184265,0.9269314408302307,0.7796103954315186,0.9470875859260559
38E8F862_RE_ DL-Verus _,5,1.4047008514404298,1.3962419033050537,1.3789410591125488,1.4376704692840576
393A33A3_Login Credentials,5,0.9641965627670288,0.9813060164451599,0.8831223845481873,1.0205035209655762
395C9C27_RE_ New Client_ TERUVA,5,1.2455673217773438,1.2278523445129395,1.1951892375946045,1.323085904121399
39633620_DNEXT - Login Credentials,5,0.9943078041076661,0.9992985725402832,0.9410355091094971,1.0345743894577026
39E5243D_RE_ DNEXT - Platform Onboarding Session,5,1.2809972286224365,1.2861952781677246,1.223032832145691,1.3305959701538086
3A59A552_RE_ Weather Dashboard EU,5,1.153968048095703,1.1609795093536377,1.1243876218795776,1.179882526397705
3A83BF39_RE_ DNEXT Onboarding,5,0.9808692216873169,1.0099936723709106,0.894487738609314,1.0665210485458374
3A93A5B6_RE_ DL-RAIZEN,5,1.4595263719558715,1.464479684829712,1.4388601779937744,1.4770572185516357
3AE813FB_RE_ Login Credentials,5,1.1486116409301759,1.237177848815918,0.6315970420837402,1.3271734714508057
3B744A09_RE_ Lineups Indonesia,5,1.1796486854553223,1.1652989387512207,1.1482675075531006,1.221032977104187
3BB864DD_RE_ [EXTERNAL] RE_ by class wheat on platform,5,0.9737502098083496,1.0616483688354492,0.6957659721374512,1.087588906288147
3C5F30EF_RE_ Corn FBO values not updated_,5,0.948322308063507,0.9678066372871399,0.8766157627105713,0.9744755625724792
3CBAC7A2_RE_ DL-Brazilian sugar lineup,5,1.2368360996246337,1.2356042861938477,1.168642520904541,1.3031079769134521
3D04D8DB_Platform Tour,5,1.231166934967041,1.2559040784835815,1.128495216369629,1.2793235778808594
3D39C5DE_RE_ Minor issue_ one data point in Corn FOB Santos,5,0.932989490032196,0.9254992604255676,0.8972976207733154,0.9702070355415344
3DB01932_RE_ [EXTERNAL] Oilseeds SND update 2025_11_05,5,1.059727430343628,1.0777006149291992,1.01322603225708,1.0896689891815186
3DB864B9_RE_ Tiryaki Agro - New Member,5,1.2873156547546387,1.2875027656555176,1.2139575481414795,1.3518363237380981
3DE5666B_DNEXT - Login Credentials,5,1.045921301841736,1.0550130605697632,0.958191990852356,1.0971540212631226
3DF2B991_DNEXT Platform - Update on data sharing,5,0.9040871143341065,0.888953447341919,0.8204460740089417,1.01321280002594
3E180EA8_DNEXT - Login Credentials,5,1.0459481239318849,1.0549871921539307,0.9582087993621826,1.097340703010559
3E576E1B_Login Credentials,5,0.9238365292549133,0.9547594785690308,0.8190929889678955,0.9616333246231079
3E710C3B_RE_ us planting forecast,5,1.0582164525985718,1.0700078010559082,1.0053045749664307,1.095930576324463
3ECED638_RE_ new table format not ok,5,0.9191489815711975,1.0435669422149658,0.4888368248939514,1.0784070491790771
3EDEEA06_RE_ problem in sharing dashboard,5,1.0014784455299377,1.012599229812622,0.9228859543800354,1.0740264654159546
3F63F573_DNEXT - Login Credentials,5,0.984977376461029,0.9626038074493408,0.9320751428604126,1.0426818132400513
40F4EB78_RE_ Unable to download historical Cash prices and,5,0.9336533546447754,1.0106968879699707,0.639324426651001,1.0477159023284912
40FB6517_RE_ Datasets to be deleted,5,1.3247827291488647,1.3256644010543823,1.2909715175628662,1.3668500185012817
4187E9C0_RE_ DCS-1273 RE_ [EXTERNAL] DNEXT Platform - Updat,5,0.9166139245033265,0.9517223834991455,0.830010175704956,0.9877148866653442
41EBC32E_RE_ DL-RAIZEN,5,1.4352864980697633,1.432325005531311,1.3880236148834229,1.4735422134399414
42476E01_NDVI Charts not updated,5,1.0375189304351806,1.0238953828811646,1.0176174640655518,1.079661250114441
42EC4CA7_RE_ DNEXT - Login Credentials,5,1.025681483745575,1.0443153381347656,0.9644481539726257,1.0613335371017456
4376ED46_RE_ exclude a data,5,1.1827346563339234,1.169922947883606,1.1448752880096436,1.2295942306518555
438584C0_Login Credentials,5,0.9702624082565308,0.9758581519126892,0.8877356648445129,1.0458042621612549
438F6E07_DNEXT - Login Credentials,5,1.0101417779922486,1.0224536657333374,0.9496980905532837,1.0513474941253662
439DC599_RE_ Customs sharing with ETG,5,1.0634326934814453,1.08916175365448,0.9451824426651001,1.1132922172546387
439FB2E4_DNEXT - Login Credentials,5,0.9560378670692444,0.9546759128570557,0.8642944097518921,1.0535447597503662
43EE6D87_customs dsahboards in the BF environment not displ,5,1.0622755527496337,1.0624666213989258,1.0049378871917725,1.113427758216858
4433CD96_Request for Email Creation and Jira Access for New,5,1.3052467107772827,1.2929680347442627,1.2213197946548462,1.3773696422576904
44A49330_RE_ Some unclear fields in Corn Dnext SnD dataset,5,0.8519636392593384,0.941746175289154,0.43654292821884155,0.995883584022522
45BAD602_Re_ Ramendar from CTA is asking for a new appointm,5,1.2460912942886353,1.2614085674285889,1.089857578277588,1.3528938293457031
460290B3_RE_ HARTREE Environment - STOP,5,1.3560789108276368,1.3638558387756348,1.3116790056228638,1.3897790908813477
467839A0_RE_ Demo account INpasa,5,1.10558979511261,1.0928796529769897,1.010640263557434,1.2392700910568237
46B95B18_RE_ Bug - Configuration,5,1.0966721296310424,1.0891362428665161,1.052720069885254,1.1436669826507568
46D05757_RE_ Indonesia lineup,5,1.0756595134735107,1.0767617225646973,1.0566951036453247,1.105302095413208
4742CA21_RE_ Amaggi Platform,5,1.049186396598816,1.062423825263977,1.0102348327636719,1.0828406810760498
47924FF3_RE_ New Environment_ DRW,5,1.2095267534255982,1.2005771398544312,1.1145823001861572,1.3121225833892822
486EEC3D_Login Credentials,5,0.9702624082565308,0.9758581519126892,0.8877356648445129,1.0458042621612549
492826CE_Re_ SND_Argentina_export registrations = broken. D,5,0.9503263831138611,0.9527709484100342,0.9188974499702454,0.9755455851554871
4A0FD4BA_Re_ [EXTERNAL] RE_ WASDE database,5,0.9008933424949646,0.9215990900993347,0.7461819052696228,0.9633057713508606
4A191FCC_SND multiple selection for product and location,5,1.2181396484375,1.2318235635757446,1.1497993469238281,1.246462345123291
